quantile,good_fraction,extra_delay,age_mode,policy,seed,wAoI,age_mae,age_bias,p95_slot_aoi,p99_slot_aoi,cvar95_slot_aoi,max_avg_power,max_queue,finite_window_bound,bound_ok,certificate_ok
0.25,0.7497621313035204,8,conservative,Conservative-AoI Bayes-Safe,16,691.6951111111111,8.008666666666675,8.008666666666675,67.0,103.0,88.79592592592593,0.38578739346793955,23.99728338128923,0.4053333333333334,True,True
0.25,0.7497621313035204,8,conservative,Conservative-AoI Bayes-Safe,17,646.5331111111111,7.996296296296279,7.996296296296279,59.0,96.0,81.73777777777778,0.39846583038541583,23.99979076357877,0.4053333333333334,True,True
0.25,0.7497621313035204,8,conservative,Conservative-AoI Bayes-Safe,18,662.3517777777778,8.006055555555582,8.006055555555582,62.0,96.0,82.63037037037037,0.3906775609768015,23.995365854991057,0.4053333333333334,True,True
0.25,0.7497621313035204,8,conservative,Conservative-AoI Bayes-Safe,19,660.1468888888888,7.9975370370370396,7.9975370370370396,61.0,96.0,81.78740740740741,0.39941904506400144,23.999080814089346,0.4053333333333334,True,True
0.25,0.7497621313035204,8,expected,Expected-AoI Bayes-Safe,0,387.36622222222223,5.03366235304455,-1.1674513873316976,45.0,79.0,64.23185185185186,0.3898148666547057,23.9996525345577,0.4053333333333334,True,True
0.25,0.7497621313035204,8,expected,Expected-AoI Bayes-Safe,1,390.0908888888889,5.006535163635011,-0.9681246489477356,47.0,84.0,68.0625925925926,0.39996072322777365,23.99947299763608,0.4053333333333334,True,True
0.25,0.7497621313035204,8,expected,Expected-AoI Bayes-Safe,2,414.3168888888889,5.161362293223971,-1.0815966614887291,48.0,83.0,67.73407407407407,0.39865166978235955,23.999968806835987,0.4053333333333334,True,True
0.25,0.7497621313035204,8,expected,Expected-AoI Bayes-Safe,3,403.40066666666667,5.052073670715205,-1.0671695161953585,47.0,80.0,66.41074074074074,0.39416777647427376,23.996959566563994,0.4053333333333334,True,True
0.25,0.7497621313035204,8,expected,Expected-AoI Bayes-Safe,4,400.46866666666665,4.951755041865158,-0.9409532575140196,44.0,79.0,64.73370370370371,0.39877090073927324,23.998995630603446,0.4053333333333334,True,True
0.25,0.7497621313035204,8,expected,Expected-AoI Bayes-Safe,5,427.2891111111111,5.221909805670061,-1.2597372576767882,49.0,85.0,69.55037037037037,0.39956527390803065,23.98756336289628,0.4053333333333334,True,True
0.25,0.7497621313035204,8,expected,Expected-AoI Bayes-Safe,6,406.0373333333333,4.9883003617133,-1.0780086943266316,47.0,80.0,65.84518518518519,0.39660474319517347,23.99754517553891,0.4053333333333334,True,True
0.25,0.7497621313035204,8,expected,Expected-AoI Bayes-Safe,7,406.07644444444446,5.11089519435135,-1.1286100795100762,47.0,82.0,67.22851851851851,0.39887241677068497,23.991457065829085,0.4053333333333334,True,True
0.25,0.7497621313035204,8,expected,Expected-AoI Bayes-Safe,8,403.2762222222222,5.0063150149905775,-1.0730066934207045,47.0,81.0,66.52074074074073,0.3987169171803649,23.999920169140598,0.4053333333333334,True,True
0.25,0.7497621313035204,8,expected,Expected-AoI Bayes-Safe,9,417.0028888888889,5.211004379062762,-1.3104786961287265,50.0,85.0,70.17407407407407,0.40130432962043877,23.998588802741953,0.4053333333333334,True,True
0.25,0.7497621313035204,8,expected,Expected-AoI Bayes-Safe,10,418.3911111111111,5.165967520854018,-1.0450034328018785,48.0,85.0,68.9137037037037,0.3950399901519073,23.99510700388242,0.4053333333333334,True,True
0.25,0.7497621313035204,8,expected,Expected-AoI Bayes-Safe,11,399.6431111111111,5.097262699852929,-1.126952828092106,48.0,82.0,66.75333333333333,0.40081117423272394,23.99830391163904,0.4053333333333334,True,True
0.25,0.7497621313035204,8,expected,Expected-AoI Bayes-Safe,12,409.4711111111111,4.990594156232597,-1.019937394548904,49.0,87.0,70.67370370370371,0.4017076496778614,23.990800175817483,0.4053333333333334,True,True
