policy,extra_delay,seed,uav,pi_los,pth,mean_aoi,avg_power,service_rate,max_queue
FreshSky-Safe,2,16,8,0.7522839954,0.5876051337,6.460540541,0.1680233058,0.1872972973,4.102523209
FreshSky-Safe,2,16,9,0.3841282698,1.214015836,11.54405405,0.3540332667,0.1002702703,20.43449091
FreshSky-Safe,2,16,10,0.2247729528,2.011774821,21.89054054,0.3952865661,0.04216216216,23.98856908
FreshSky-Safe,2,16,11,0.2144342016,2.107404393,21.02,0.4009764034,0.04243243243,23.99218863
FreshSky-Safe,2,17,0,0.6058267012,0.772389876,8.849189189,0.2070839884,0.1318918919,7.44779752
FreshSky-Safe,2,17,1,0.4606290406,1.022513998,9.995135135,0.2782896206,0.1089189189,10.18273797
FreshSky-Safe,2,17,2,0.8627452041,0.4598691245,5.045675676,0.1208088619,0.2067567568,0.8190838718
FreshSky-Safe,2,17,3,0.95,0.2139841101,4.355675676,0.05766004265,0.2275675676,0.2139841101
FreshSky-Safe,2,17,4,0.8920394043,0.4237308779,5.368108108,0.1098264627,0.1991891892,0.6610396572
FreshSky-Safe,2,17,5,0.9329954481,0.3673358894,4.878918919,0.09342245186,0.2137837838,0.3673358894
FreshSky-Safe,2,17,6,0.2434414901,1.861711545,20.68837838,0.3924689203,0.04891891892,23.96440423
FreshSky-Safe,2,17,7,0.2237143759,2.021113381,25.99351351,0.3900202579,0.03756756757,23.99504598
FreshSky-Safe,2,17,8,0.7874097494,0.5472165522,6.233783784,0.1527769455,0.1808108108,2.038764149
FreshSky-Safe,2,17,9,0.2072792387,2.179902851,27.70864865,0.3965066538,0.03567567568,23.99805703
FreshSky-Safe,2,17,10,0.95,0.241873434,4.699189189,0.05961853292,0.21,0.241873434
FreshSky-Safe,2,17,11,0.5223938409,0.9032962107,9.396756757,0.2734302043,0.1254054054,14.44173706
FreshSky-Safe,2,18,0,0.95,0.2641897105,4.416216216,0.06854651947,0.2172972973,0.2641897105
FreshSky-Safe,2,18,1,0.2298402862,1.968390267,22.33459459,0.3904860693,0.03891891892,23.9941508
FreshSky-Safe,2,18,2,0.2514208534,1.804941085,18.95810811,0.3839158469,0.04972972973,23.97810691
